iter	Passed	Remaining
405	8004	11711
406	8023	11690
407	8043	11670
408	8062	11650
409	8082	11631
410	8102	11611
411	8122	11592
412	8141	11571
413	8161	11552
414	8182	11533
415	8205	11519
416	8227	11502
417	8246	11482
418	8267	11463
419	8287	11444
420	8306	11423
421	8325	11402
422	8345	11383
423	8365	11364
424	8384	11344
